tag,day,round,gamma,err,ratio
no noise,17,12,-0.35302734375,0.00018979267447372106,1.0001588088685234
no noise,18,1,0.0,0.36884985660943304,0.6942037217959257
no noise,18,2,-1.5,1.1311501433905669,1.7036947706741628
no noise,18,3,-0.75,0.38115014339056696,1.296864830943226
no noise,18,4,-0.375,0.0061501433905669645,1.0050467886808891
no noise,18,5,-0.1875,0.18134985660943304,0.8496513247102047
no noise,18,6,-0.28125,0.08759985660943304,0.9276520673976074
no noise,18,7,-0.328125,0.040724856609433036,0.9664626709076535
no noise,18,8,-0.3515625,0.017287356609433036,0.9857877206677397
no noise,18,9,-0.36328125,0.0055686066094330355,0.9954260859600408
no noise,18,10,-0.369140625,0.00029076839056696446,1.0002387179632641
no noise,18,11,-0.3662109375,0.0026389191094330355,0.9978329630258967
no noise,18,12,-0.36767578125,0.0011740753594330355,0.9990359818981045
no noise,19,1,0.0,0.32000725012612985,0.7180495624916686
no noise,19,2,-1.5,1.17999274987387,1.6134338389135015
no noise,19,3,-0.75,0.42999274987387015,1.3273803527772183
no noise,19,4,-0.375,0.05499274987387015,1.0465864365594815
no noise,19,5,-0.1875,0.13250725012612985,0.8845463684894912
no noise,19,6,-0.28125,0.03875725012612985,0.9666308486338921
no noise,19,7,-0.328125,0.00811774987387015,1.0069365210272794
no noise,19,8,-0.3046875,0.01531975012612985,0.9868580723822002
no noise,19,9,-0.31640625,0.0036010001261298497,0.9969168516866128
no noise,19,10,-0.322265625,0.0022583748738701503,1.001931694018003
no noise,19,11,-0.3193359375,0.0006713126261298497,0.9994255099428139
no noise,19,12,-0.32080078125,0.0007935311238701503,1.00067891310866
no noise,20,1,0.0,0.331666465572955,0.71020786621717
no noise,20,2,-1.5,1.168333534427045,1.709170400685126
no noise,20,3,-0.75,0.418333534427045,1.3364637351003388
no noise,20,4,-0.375,0.04333353442704502,1.0372935227196498
no noise,20,5,-0.1875,0.14416646557295498,0.8741793255206135
no noise,20,6,-0.28125,0.05041646557295498,0.9562344242233842
no noise,20,7,-0.328125,0.0035414655729549827,0.9969377054574887
no noise,20,8,-0.3515625,0.019896034427045017,1.017165167641688
no noise,20,9,-0.33984375,0.008177284427045017,1.007063062493294
no noise,20,10,-0.333984375,0.0023179094270450173,1.002003194891651
no noise,20,11,-0.3310546875,0.0006117780729549827,0.9994711409427119
no noise,20,12,-0.33251953125,0.0008530656770450173,1.0007373421049548
no noise,21,1,0.0,0.3499263522774919,0.7118727881803165
no noise,21,2,-1.5,1.150073647722508,1.5413916415378228
no noise,21,3,-0.75,0.4000736477225081,1.2791021999991408
no noise,21,4,-0.375,0.025073647722508086,1.0196050457656596
no noise,21,5,-0.1875,0.16242635227749191,0.8686591283558384
no noise,21,6,-0.28125,0.06867635227749191,0.9452849846866112
no noise,21,7,-0.328125,0.021801352277491914,0.9827844064174475
no noise,21,8,-0.3515625,0.0016361477225080856,1.0012857911533741
no noise,21,9,-0.33984375,0.010082602277491914,0.9920570972297885
