regime,day,round,gamma_t,gamma_hat,gmv_ratio,gamma_error,converged
noiseless,22,2,-2.5,-0.3280552396614474,1.2481281360404526,2.1719447603385524,True
noiseless,22,3,-1.25,-0.3280552396614474,1.248469940432144,0.9219447603385527,True
noiseless,22,4,-0.625,-0.3280552396614474,1.1661559016792882,0.2969447603385526,True
noiseless,22,5,-0.3125,-0.3280552396614474,0.9873866847139866,0.015555239661447395,True
noiseless,22,6,-0.46875,-0.3280552396614474,1.0992584249359167,0.1406947603385526,True
noiseless,22,7,-0.390625,-0.3280552396614474,1.0482649446394339,0.0625697603385526,True
noiseless,22,8,-0.3515625,-0.3280552396614474,1.018825682418209,0.023507260338552605,True
noiseless,22,9,-0.33203125,-0.3280552396614474,1.0032138127435195,0.003976010338552605,True
noiseless,22,10,-0.322265625,-0.3280552396614474,0.9953113624817959,0.005789614661447395,True
noiseless,22,11,-0.3271484375,-0.3280552396614474,0.9992661197743642,0.0009068021614473953,True
noiseless,22,12,-0.32958984375,-0.3280552396614474,1.0012408456353785,0.0015346040885526047,True
noiseless,23,1,0.0,-0.3726118622980048,0.7314130799290881,0.3726118622980048,True
noiseless,23,2,-2.5,-0.3726118622980048,1.1655569258555647,2.1273881377019954,True
noiseless,23,3,-1.25,-0.3726118622980048,1.164183998208065,0.8773881377019952,True
noiseless,23,4,-0.625,-0.3726118622980048,1.1059594073716272,0.2523881377019952,True
noiseless,23,5,-0.3125,-0.3726118622980048,0.9625588661425462,0.0601118622980048,True
noiseless,23,6,-0.46875,-0.3726118622980048,1.0512087325479411,0.0961381377019952,True
noiseless,23,7,-0.390625,-0.3726118622980048,1.0105860660463255,0.018013137701995197,True
noiseless,23,8,-0.3515625,-0.3726118622980048,0.9872350231808863,0.021049362298004803,True
noiseless,23,9,-0.37109375,-0.3726118622980048,0.9990937402572247,0.0015181122980048034,True
noiseless,23,10,-0.380859375,-0.3726118622980048,1.004898249229302,0.008247512701995197,True
noiseless,23,11,-0.3759765625,-0.3726118622980048,1.002002900393146,0.0033647002019951966,True
noiseless,23,12,-0.37353515625,-0.3726118622980048,1.0005500078817646,0.0009232939519951966,True
noiseless,24,1,0.0,-0.3408099251403272,0.7087649803089192,0.3408099251403272,True
noiseless,24,2,-2.5,-0.3408099251403272,1.2462208143186138,2.159190074859673,True
noiseless,24,3,-1.25,-0.3408099251403272,1.2452581878777198,0.9091900748596728,True
noiseless,24,4,-0.625,-0.3408099251403272,1.1566522026643102,0.2841900748596728,True
noiseless,24,5,-0.3125,-0.3408099251403272,0.978994793808592,0.028309925140327208,True
noiseless,24,6,-0.46875,-0.3408099251403272,1.0840061287601432,0.1279400748596728,True
noiseless,24,7,-0.390625,-0.3408099251403272,1.0350477648974532,0.04981507485967279,True
noiseless,24,8,-0.3515625,-0.3408099251403272,1.0078193376663136,0.010752574859672792,True
noiseless,24,9,-0.33203125,-0.3408099251403272,0.9935142727897286,0.008778675140327208,True
noiseless,24,10,-0.341796875,-0.3408099251403272,1.0007194732220728,0.0009869498596727921,True
noiseless,24,11,-0.3369140625,-0.3408099251403272,0.9971305450919059,0.003895862640327208,True
noiseless,24,12,-0.33935546875,-0.3408099251403272,0.9989368656286653,0.0014544563903272079,True
noiseless,25,1,0.0,-0.33250362140498874,0.7224604850984815,0.33250362140498874,True
noiseless,25,2,-2.5,-0.33250362140498874,1.2183192106981156,2.167496378595011,True
noiseless,25,3,-1.25,-0.33250362140498874,1.2178362394158497,0.9174963785950112,True
noiseless,25,4,-0.625,-0.33250362140498874,1.1500872083427764,0.29249637859501126,True
noiseless,25,5,-0.3125,-0.33250362140498874,0.9852476925316505,0.020003621404988736,True
noiseless,25,6,-0.46875,-0.33250362140498874,1.0858358230150513,0.13624637859501126,True
noiseless,25,7,-0.390625,-0.33250362140498874,1.0397907626087777,0.058121378595011264,True
noiseless,25,8,-0.3515625,-0.33250362140498874,1.013861144225829,0.019058878595011264,True
noiseless,25,9,-0.33203125,-0.33250362140498874,0.9996537908679146,0.0004723714049887362,True
noiseless,25,10,-0.341796875,-0.33250362140498874,1.0067887438372984,0.009293253595011264,True
noiseless,25,11,-0.3369140625,-0.33250362140498874,1.003227697586483,0.004410441095011264,True
noiseless,25,12,-0.33447265625,-0.33250362140498874,1.0014420773621733,0.001969034845011264,True
noiseless,26,1,0.0,-0.40358974498809,0.7102870447085384,0.40358974498809,True
noiseless,26,2,-2.5,-0.40358974498809,1.1788319948251984,2.09641025501191,True
noiseless,26,3,-1.25,-0.40358974498809,1.1777519647982304,0.8464102550119099,True
noiseless,26,4,-0.625,-0.40358974498809,1.0981587852251256,0.22141025501190997,True
noiseless,26,5,-0.3125,-0.40358974498809,0.9421630585939094,0.09108974498809003,True
