floor_mult,day,R_observed,R_target,mu_star_cbn,gamma_star_tuned,m_star_unif,pi_cbn,pi_gamma_tuned,pi_unif_tuned,gap_gamma_pct,gap_unif_pct,cbn_meets_floor,gamma_meets_floor,unif_meets_floor
1.15,19,771484.15,887206.7725,0.49333672651436733,-0.3220204005171865,0.20200011938710266,212432.61073454484,207370.44046996886,179215.89192927102,2.382953467959612,15.636355779095203,True,True,True
1.15,20,714900.15,822135.1725,0.4831302391198127,-0.3341975229576467,0.20195414380071855,198699.3105536439,195649.58580809232,166033.61207621533,1.534844150719003,16.43976437885508,True,True,True
1.15,21,920955.3500000001,1059098.6525,0.5425432078652488,-0.35421721974611964,0.19567360945130774,246247.0007435146,238678.24766566156,207237.6564834191,3.0736427469167347,15.841551020849495,True,True,True
1.15,22,975730.7399999999,1122090.3509999998,0.5439342747580088,-0.33882809722049184,0.19286241211979266,272016.7653400118,264276.8790172208,216409.05259026296,2.8453710612713126,20.442752004730693,True,True,True
1.15,23,1293906.4599999997,1487992.4289999995,0.7393704766628449,-0.39340940222039955,0.15851543184830613,391220.6530195003,368209.3696395073,235869.73111048495,5.881919372709088,39.70928444344474,True,True,True
1.15,24,967883.11,1113065.5765,0.5529361253443519,-0.35389025592527285,0.19343015659226404,260968.25295800288,253871.63025580617,215300.44937304631,2.719343300098174,17.499371309469506,True,True,True
1.15,25,1202171.0699999998,1382496.7304999996,0.6248665060616164,-0.3552215333643796,0.18620934142649886,310516.51933958614,288791.08529631473,257433.73737634663,6.996546943614329,17.09499451949842,True,True,True
1.15,26,1254831.8,1443056.5699999998,0.7428232778685838,-0.4471198396819085,0.17217288094368413,306949.4763180706,261460.56870087574,248455.20701992814,14.81967265845987,19.05664410957616,True,True,True
1.15,27,1520320.79,1748368.9085,0.8533029166024594,-0.5037032719558349,0.1550845422385304,359668.1027956811,304867.6951065707,271144.9918343409,15.236382449027232,24.61244415983924,True,True,True
1.15,28,1840120.65,2116138.7474999996,0.7310141515412685,-0.4147903692784378,0.1548459408072369,476524.67863336625,384757.48887616093,327675.4951321851,19.257594385328815,31.236406040515764,True,True,True
1.15,29,1427503.02,1641628.473,0.7940857015143523,-0.45691905452334153,0.1646707029482303,340363.5887610405,281124.4640837288,270328.1146159527,17.404659791298,20.576664619157505,True,True,True
1.15,30,1363320.3599999999,1567818.4139999996,0.8157903941856794,-0.4660217666254721,0.16335133505694738,322636.32564483787,275364.2624032397,256105.23104858884,14.651810563214703,20.6210799305616,True,True,True
1.15,31,1413420.8399999999,1625433.9659999998,0.7361791748199573,-0.433980198883797,0.17234878019963124,345154.8714419972,306373.0436216862,280141.5613344291,11.23606561260086,18.835982188503895,True,True,True
1.2,1,2070003.2200000002,2484003.864,0.9080307535655138,-5.0,0.5,552337.6798039214,378.5276685200748,787961.5211495984,99.93146807064576,-42.65938210649018,True,False,False
1.2,2,876209.98,1051451.976,0.5474194085416737,-0.34535990448975573,0.17216626671426377,214333.82694402846,202987.4251245025,181024.5614012914,5.293798921664838,15.540834602573259,True,True,True
1.2,3,1114080.23,1336896.2759999998,0.5968310624486928,-0.3397234860921164,0.16656475769822154,267719.9172207344,244690.38958494063,222679.81069306374,8.60209724956922,16.82359198196495,True,True,True
1.2,4,1029190.1,1235028.1199999999,0.5742287775804472,-0.32978356586199037,0.17039907212475675,248437.69368795067,228530.07190934182,210447.64874527592,8.01312453158326,15.291578495488698,True,True,True
1.2,5,1117132.6,1340559.12,0.6913604134799641,-0.4016495153095807,0.15215217819859198,253622.98780351647,223059.05221100134,203969.02988039344,12.050932708116045,19.577861751865452,True,True,True
1.2,6,1130830.1900000002,1356996.2280000001,0.658372884961164,-0.381748243204467,0.15972040365551365,258544.15956774767,234325.5425622702,216740.00110572934,9.367303847036371,16.169059294129664,True,True,True
1.2,7,1358681.94,1630418.328,0.832073616589676,-0.4757449439978969,0.12111875464666497,302565.11753350386,235388.92968455705,197474.23743930663,22.20222489511145,34.73330995684267,True,True,True
1.2,8,1913487.05,2296184.46,1.2349585974104085,-5.0,0.5,395901.9773553681,8865.381613697407,733367.3519708932,97.76071297422705,-85.23962847313862,True,False,False
1.2,9,1236313.1,1483575.72,0.8362125001171903,-0.48364725629680083,0.12622817725679322,280140.755090423,237039.2465363319,187269.05129921614,15.38566159007422,33.1518003373804,True,True,True
1.2,10,686497.7,823797.2399999999,0.5894006373613474,-0.440097735540746,0.1667945134090815,162329.25865786627,158986.35087711428,137404.86522679368,2.0593377979983774,15.354221190404472,True,True,True
1.2,11,713559.1900000001,856271.028,0.5456741750025735,-0.4030609702342013,0.17203668521430354,174596.95529729742,171415.2312811439,147310.0492163614,1.8223250289421085,15.628511983197452,True,True,True
1.2,12,851296.8,1021556.16,0.6407299145641908,-0.43347571320368744,0.1610167477973356,196740.10195203958,189590.56683121572,164487.65073181206,3.633999906418031,16.393430165086464,True,True,True
1.2,13,1007017.0300000003,1208420.4360000002,0.7528009582431415,-0.5127977501612159,0.14413164137334172,218994.9787631256,203752.34293213146,174171.62293246947,6.96026727054835,20.467755052566297,True,True,True
1.2,14,887748.6500000001,1065298.3800000001,0.6781302169566125,-0.46438206500304596,0.15443994891567855,203051.64843387838,194192.3936565723,164524.62773760819,4.363054841286355,18.974000454281516,True,True,True
1.2,15,862822.3099999998,1035386.7719999998,0.6314985232059437,-0.43374983624588814,0.15951869258747284,205548.76159001997,197412.7737101915,165163.54429599943,3.9581789823945552,19.647511851504813,True,True,True
1.2,16,866645.4500000001,1039974.54,0.6572878938764226,-0.45384966658957415,0.15585351610836873,201425.62022081917,191907.88000984976,162083.68900838582,4.725188484233181,19.531741378928622,True,True,True
1.2,17,730210.4199999998,876252.5039999997,0.5646931170829024,-0.4116233500648405,0.16877078555191086,179039.15014286357,175293.22126112116,147885.82376020204,2.0922400931602727,17.40028723203995,True,True,True
1.2,18,659103.02,790923.624,0.5769457530504053,-0.43128574166181444,0.16775551357568225,160792.2466288396,157729.11182665857,132681.80085342802,1.9050264340492389,17.48246346747027,True,True,True
1.2,19,771484.15,925780.98,0.568562964739207,-0.377805129320294,0.16831199836648336,191962.95917202317,185105.98879045428,155820.00211696522,3.572027859512297,18.828089132898434,True,True,True
1.2,20,714900.15,857880.18,0.5541861722514683,-0.39039948846382966,0.16853083943888772,180167.77843109757,176082.563099208,144579.26688155043,2.2674505771585016,19.752983502073555,True,True,True
1.2,21,920955.3500000001,1105146.4200000002,0.6269536588759812,-0.4179908668460742,0.15928677634929309,219339.23455813993,209346.1408233117,176035.21090805743,4.55599918316455,19.742944638846165,True,True,True
1.2,22,975730.7399999999,1170876.8879999998,0.6309043214028218,-0.4019412295463842,0.15529035405691988,243380.32730356857,233215.767858521,181825.8870541502,4.176409637402331,25.2914608717086,True,True,True
1.2,23,1293906.4599999997,1552687.7519999996,0.8812523708413894,-0.4947422437657028,0.10475148078205182,338890.2106445252,306948.3174512828,162646.35125436986,9.425439918282986,52.00618190031586,True,True,True
1.2,24,967883.11,1161459.7319999998,0.6395676626533647,-0.4242063528286026,0.1561725078240392,232134.05279574136,222469.36927538094,181388.07947025922,4.163406188778572,21.86063298956589,True,True,True
1.2,25,1202171.0699999998,1442605.2839999998,0.7340229978374929,-0.4333789738862445,0.1444516520643885,269726.53739190707,242860.9563741803,208386.74699326028,9.96030323063527,22.74147400984922,True,True,True
1.2,26,1254831.8,1505798.16,0.877621590613877,-0.5527554332128353,0.12292540503687824,256192.1884774401,203518.7180237975,185100.84872161256,20.560139154391486,27.749222245348722,True,True,True
1.2,27,1520320.79,1824384.948,1.0198832222884067,-0.6450189311249335,0.09665946287066429,288615.23476042267,214637.8002527447,176344.06914293228,25.631853623072285,38.899944318838834,True,True,True
1.2,28,1840120.65,2208144.78,0.8715707801878351,-0.5183019762875173,0.09327587550059398,402926.2837329543,283572.81585787644,205966.63758525584,29.62166348874407,48.88230281801039,True,True,True
1.2,29,1427503.02,1713003.624,0.947849820442836,-0.58853549486952,0.11048571360579396,278318.7912471067,201079.11040213358,189262.42780634094,27.752233508514873,31.997970040656227,True,True,True
1.2,30,1363320.3599999999,1635984.4319999998,0.9742326031158804,-0.5880081156760009,0.10906512650162907,261747.34407837686,200326.45711823972,178428.84903056355,23.46571545029525,31.83164869969594,True,True,True
1.2,31,1413420.8399999999,1696105.0079999997,0.8692325489028256,-0.5329981231280735,0.12356228416653352,288511.02100091585,238776.9804200619,209574.59639668287,17.23817704027884,27.35993388758012,True,True,True
1.25,1,2070003.2200000002,2587504.0250000004,1.120943362220827,-5.0,0.5,447685.2860468859,378.5276685200748,787961.5211495984,99.91544782008306,-76.00791129576582,True,False,False
1.25,2,876209.98,1095262.475,0.6271952750687269,-0.4094871036240023,0.13834752754450313,188621.24775996568,175180.2908778311,151526.8555002883,7.1258975548922106,19.666072990293596,True,True,True
1.25,3,1114080.23,1392600.2875,0.6917953613150561,-0.4148788315861002,0.13005653576774961,231867.1848473252,205047.33446410447,181116.77291189865,11.566902147399805,21.88770781378295,True,True,True
1.25,4,1029190.1,1286487.625,0.6639510933613687,-0.39818700130936885,0.13518702109558609,216610.28939201948,191034.9710273936,173916.43191597407,11.807065322894191,19.70998589027247,True,True,True
1.25,5,1117132.6,1396415.75,0.8056693170331413,-0.49233257646157036,0.10998268003822737,211867.50459952073,176182.04067303348,153581.55790352,16.843292695565157,27.510564589022195,True,True,True
1.25,6,1130830.1900000002,1413537.7375000003,0.7639664416610882,-0.4604316913273707,0.12064803156906118,218379.74391715828,190203.77695069645,170540.5520046765,12.902280431810699,21.906423670241804,True,True,True
1.25,7,1358681.94,1698352.4249999998,0.9836523727432734,-0.625633648951496,0.06350738588828274,241001.93267449838,155395.83943933801,107857.93053202375,35.52091565621655,55.24603087822592,True,True,True
1.25,8,1913487.05,2391858.8125,1.5448537603988217,-5.0,0.5,263532.69945413654,8865.381613697407,733367.3519708932,96.63594626698676,-178.2832466293328,True,False,False
1.25,9,1236313.1,1545391.375,0.9841073850197378,-0.6187112658544099,0.07350629749052279,223974.3613475394,171759.97323576073,113596.00244219841,23.312663019834666,49.28169378014999,True,True,True
1.25,10,686497.7,858122.125,0.6662033144211695,-0.5075802033776127,0.1324257645164109,140788.92012190283,136424.28109383714,113637.48655644534,3.1001296297226704,19.285206209372358,True,True,True
